id,source,ambientTemp,latitude,longitude,time
2WWPpUus3yDgFpf0LpjO9pozQSj,,17.5,37.43,-122.19,2023-10-09T09:59:05.452Z
2WWPpT3KT3ytR3rMAvdGbQ5Xv0E,,29,37.99,-122.6,2023-10-09T09:59:05.961Z
2WWPpcpmTjnTyOkZOb3dWzGaf6K,,14.5,37.7,-122.46,2023-10-09T09:59:06.734Z
2WWPpdbYhsCIyrU1E7G70ITcKf1,,22.5,37.55,-122.3,2023-10-09T09:59:06.922Z
2WWPpjXG6198YU5R8La27kLJ8Zy,,18.5,53.58,7.74,2023-10-09T09:59:07.232Z
2WWPplEmbqKm4eS8j2YvoOCMM0i,,10,52.77,13.65,2023-10-09T09:59:07.504Z
2WWPpnLVBrhdiFCBpUXr37DMfT3,,21.5,45.84,4.2,2023-10-09T09:59:07.505Z
2WWPpke6tD307xRwOeJxFQaTX1o,,24.5,39.52,-119.81,2023-10-09T09:59:07.728Z
2WWPpjm9etLjBjReMUTKZOwvDDI,,19.5,51.19,6.44,2023-10-09T09:59:07.728Z
2WWPpi5LUKHXayZrpNwPHtqTskT,,17,34.25,-117.28,2023-10-09T09:59:07.729Z
2WWPpmsgI8JPcNr3knTLSGbuJfR,,20.5,37.89,-122.25,2023-10-09T09:59:07.731Z
2WWPpoTVeDWlRqKczY44ia1xX8Z,,10.5,45.47,-73.57,2023-10-09T09:59:07.763Z
2WWPpnOBLqFKfTysoYHDjjKiZ5p,,10.5,40.74,-73.92,2023-10-09T09:59:07.763Z
2WWPpvxrkzbdrGbPZCs7MIpPyCp,,12.5,41.89,-87.94,2023-10-09T09:59:08.17Z
2WWPppyasRWYn7Fg34BRLqEmJvt,,18,50.57,7.56,2023-10-09T09:59:08.172Z
2WWPptHtUGJDhd1TKQhvu067WQQ,,17.5,33.92,-117.92,2023-10-09T09:59:08.181Z
2WWPpqxmQcCeXAjcrhpIByXtPiA,,20.5,40.51,-111.88,2023-10-09T09:59:08.182Z
2WWPpxA1khMIjIiuvVzYaDN1RNF,,10.5,39.1,-84.49,2023-10-09T09:59:08.27Z
2WWPpqheKOsZOrvB65dQxW4zZo1,,12,57.73,12.02,2023-10-09T09:59:08.271Z
2WWPpumXe3vmRsuj69oFt9IeGzm,,17.5,34.21,-118.84,2023-10-09T09:59:08.273Z
2WWPpubjEERkOzw9bfrVBLt022m,,7.5,59.36,17.99,2023-10-09T09:59:08.273Z
2WWPptt98YHXsFRYNMwXDV3wZP7,,12.5,41.89,-87.94,2023-10-09T09:59:08.275Z
2WWPpu7uofXNPpZSNxugtIURoCv,,17,44.48,26.18,2023-10-09T09:59:08.518Z
2WWPppw5dy2BOIF9iGcsypEFuSb,,17.5,37.89,-122.26,2023-10-09T09:59:08.691Z
2WWPppbzfN1DFarSZ9IboiSwbr2,,19,47.26,8.69,2023-10-09T09:59:08.749Z
2WWPpx83Y55byoHwjbTiBCMnB8x,,25.5,33.85,-118.39,2023-10-09T09:59:08.802Z
2WWPprP2NqiZUMWdtxZXvAvx1kM,,12,37.64,-118.97,2023-10-09T09:59:08.802Z
2WWPpt1nggo6962YPeLwJLNlv0V,,17.5,-35.19,149.16,2023-10-09T09:59:08.802Z
2WWPq3qIH5I7ecPHELMTjsVUlj7,,19.5,46.83,9.45,2023-10-09T09:59:09.019Z
2WWPpxIBoY9nSep8U1YeNSLMPOh,,18.5,43.04,-89.48,2023-10-09T09:59:09.286Z
2WWPpzfigHSXq59UHVAzoAhtLHQ,,15.5,-36.73,174.73,2023-10-09T09:59:09.289Z
2WWPq1sBD8q5IgoiszsTpcDVkXp,,16,48.19,14.71,2023-10-09T09:59:09.503Z
2WWPq43renb6t29WRRizBdb0CzE,,24,49.25,-122.89,2023-10-09T09:59:09.51Z
2WWPq0lzVxXwDvgDrzu7sHIHJBJ,,21.5,47.45,8.31,2023-10-09T09:59:09.786Z
2WWPpzObcVJg4587YnoOoaPxVSV,,7.5,59.91,10.76,2023-10-09T09:59:09.788Z
2WWPq3jZnqCf3urmBGmDEsWy2Ph,,17.5,46.85,9.51,2023-10-09T09:59:09.792Z
2WWPq3KsJUNX6l4sg6qabSsdENJ,,30,38.22,21.76,2023-10-09T09:59:09.847Z
2WWPq5tZhP5eMlKtnr9W0LaCh30,,17,53.54,7.95,2023-10-09T09:59:10.012Z
2WWPq55a8n5FlRrog8UJ6GOGdIt,,33.5,33.51,-111.9,2023-10-09T09:59:10.521Z
2WWPqA4ryxGUivGmlHEHA0AQq8c,,10,53.73,9.99,2023-10-09T09:59:10.522Z
2WWPq5CYYq3f0rFekKBXRqT3tZ3,,22.5,47.27,8.01,2023-10-09T09:59:10.522Z
2WWPq8ZSoKF9ZVE6cyvm1aMIYtt,,6,34.13,-79.89,2023-10-09T09:59:10.707Z
2WWPq7MsubNFqaGOTh4SANBR0od,,23,36.04,-115.31,2023-10-09T09:59:10.745Z
2WWPqBoPscetKyT2dmWy0ywZWyQ,,19,41.12,-73.38,2023-10-09T09:59:10.746Z
2WWPqI5xk7iqA1lUSrkYK8haP8L,,10,49.72,35.89,2023-10-09T09:59:11.006Z
2WWPqEeeHTaZpuImEFs6bzlqchA,,16,39.52,-119.83,2023-10-09T09:59:11.264Z
2WWPqG5ER2XIlNyn5wQmZ7sDZ54,,34,33.27,-111.69,2023-10-09T09:59:11.264Z
2WWPqJFi3huojQ5ZKWLkQqSnBNI,,23.5,32.82,-79.84,2023-10-09T09:59:11.488Z
2WWPqGGuXUTV1ljpGobBgjygTBC,,19.5,49.87,8.65,2023-10-09T09:59:11.751Z
2WWPqDpWI5iX3oMBOL22Xz74lPH,,12,37.64,-118.97,2023-10-09T09:59:11.816Z
2WWPqR57wy6w56k9VFTRATLZzjS,,14,-36.91,174.87,2023-10-09T09:59:12.036Z
2WWPqQ0U3s3QXcWiVNt9tyVmOqX,,23.5,32.82,-79.84,2023-10-09T09:59:12.037Z
2WWPqL6dCprCImJVlDr7c9nM3H4,,24.5,43.28,5.42,2023-10-09T09:59:12.756Z
2WWPqNpCSnSQnJ3KxLEtbVMOkyS,,20,30.21,-97.77,2023-10-09T09:59:12.817Z
2WWPqQrfD09pcL13OQJyx6drW5I,,20,30.21,-97.77,2023-10-09T09:59:12.817Z
2WWPqT1HB3E7QL7DQpP0W0AJhqa,,17.5,37.43,-122.19,2023-10-09T09:59:13.01Z
2WWPqTs6rivZfvLTC7nTG0uiLiv,,17.5,37.43,-122.19,2023-10-09T09:59:13.01Z
2WWPqVhtw2g8V9JM6TKzpzX5I9n,,28.5,28.23,-81.3,2023-10-09T09:59:13.01Z
2WWPqW6LaYyOfK8cNrNU5HPpwR0,,11.5,49.88,-119.54,2023-10-09T09:59:13.014Z
2WWPqTryrm5nlIZbrbEuOca2MfG,,34,33.27,-111.69,2023-10-09T09:59:13.317Z
2WWPqVvS1Rw4DGX1QMyMdNdofsD,,28.5,28.23,-81.3,2023-10-09T09:59:13.545Z
2WWPqb1q0Fvne11ldQgTHzk1eed,,19.5,51.19,6.44,2023-10-09T09:59:14.268Z
